Category Code|Category Name|Product Name|Package Size|Unit Size|UPC/ PLU|Check Digit|Vendor ID|Vendor Description
3100|Cold Dispensed Beverages|FOUNTAIN CUP PEPSI 32OZ|1||4511485808|||
3100|Cold Dispensed Beverages|REFILL - 45OZ - 64OZ|1||4|||
3100|Cold Dispensed Beverages|FOUNTAIN - LRG 44OZ|||1009|||
3100|Cold Dispensed Beverages|FOUNTAIN - LRG 44OZ|||3202091909|||
3100|Cold Dispensed Beverages|FOUNTAIN - MED 32OZ|||1007|||
3100|Cold Dispensed Beverages|FOUNTAIN - MED 32OZ|||3202008400|||
3100|Cold Dispensed Beverages|FOUNTAIN - REFILL - LARGE 45-64 OZ|||1054|||
3100|Cold Dispensed Beverages|FOUNTAIN - REFILL - MED 33-44 OZ|||1052|||
3100|Cold Dispensed Beverages|FOUNTAIN - REFILL - SMALL 20-32 OZ|||1051|||
3100|Cold Dispensed Beverages|FOUNTAIN - SMALL 24OZ|||1005|||
3100|Cold Dispensed Beverages|FOUNTAIN - SMALL 24OZ|||3202013600|||
200|Cigarettes|24/7 GOLD 100 CT|10||68514191307|||
200|Cigarettes|24/7 GOLD 100|||68514191007|||
200|Cigarettes|24/7 GOLD KING CT|10||68514191304|||
200|Cigarettes|24/7 GOLD KING|||68514191004|||
200|Cigarettes|24/7 MENTHOL 100 CT|10||68514191315|||
200|Cigarettes|24/7 MENTHOL 100|||68514191015|||
200|Cigarettes|24/7 MENTHOL GOLD 100 CT|10||68514191319|||
200|Cigarettes|24/7 MENTHOL GOLD 100|||68514191019|||
200|Cigarettes|24/7 MENTHOL KING CT|10||68514191312|||
200|Cigarettes|24/7 MENTHOL KING|||68514191012|||
200|Cigarettes|24/7 RED 100 CT|10||68514191303|||
200|Cigarettes|24/7 RED 100|||68514191003|||
200|Cigarettes|24/7 RED KING CT|10||68514191300|||
200|Cigarettes|24/7 RED KING|||68514191000|||
200|Cigarettes|24/7 SILVER 100 CT|10||68514191311|||
200|Cigarettes|24/7 SILVER 100|||68514191011|||
200|Cigarettes|BASIC 100 BX|1||2820030402|||
200|Cigarettes|BASIC 100 CT|10||2820030401|||
200|Cigarettes|BASIC BLUE 100 BX|1||2820030362|||
200|Cigarettes|BASIC BLUE 100 CT|10||2820030361|||
200|Cigarettes|BASIC BLUE CT|10||2820030501|||
200|Cigarettes|BASIC BLUE KS BX|1||2820030502|||
200|Cigarettes|BASIC GOLD 100 BX|1||2820030462|||
200|Cigarettes|BASIC GOLD 100 CT|10||2820030461|||
200|Cigarettes|BASIC GOLD BX|1||2820030432|||
200|Cigarettes|BASIC GOLD CT|10||2820030431|||
200|Cigarettes|BASIC KING CT|10||2820030371|||
200|Cigarettes|BASIC KS BX|1||2820030372|||
200|Cigarettes|BASIC MTHL GOLD 100 BX|1||2820030452|||
200|Cigarettes|BASIC MTHL GOLD BX CT|10||2820030421|||
200|Cigarettes|BASIC MTHL GOLD BX|1||2820030422|||
200|Cigarettes|BASIC MTHL SILVER 100 BX|1||2820030482|||
200|Cigarettes|BASIC MTHL SILVER 100 CT|10||2820030481|||
200|Cigarettes|BASIC MTHL SILVER BX|1||2820030512|||
200|Cigarettes|BASIC MTHL SILVER CT|10||2820030511|||
200|Cigarettes|BENSON & HEDGES DELUXE 100 BX|||2820000729|||
200|Cigarettes|BENSON & HEDGES LUXURY MTHL100|1||2820000728|||
200|Cigarettes|BENSON & HEDGES MENTHOL 100 BX|1||2820000723|||
200|Cigarettes|BERLEY BLUE 100 CT|10||68514121329|||
200|Cigarettes|BERLEY BLUE 100|||68514121029|||
200|Cigarettes|BERLEY BLUE KING CT|10||68514121317|||
200|Cigarettes|BERLEY BLUE KING|||68514121017|||
200|Cigarettes|BERLEY GOLD 100 CT|10||68514121328|||
200|Cigarettes|BERLEY GOLD 100|||68514121028|||
200|Cigarettes|BERLEY GOLD KING CT|10||68514121314|||
200|Cigarettes|BERLEY GOLD KING|||68514121014|||
200|Cigarettes|BERLEY MENTHOL 100 CT|10||68514121330|||
200|Cigarettes|BERLEY MENTHOL 100|||68514121030|||
200|Cigarettes|BERLEY MENTHOL GOLD 100 CT|10||68514121331|||
200|Cigarettes|BERLEY MENTHOL GOLD 100|||68514121031|||
200|Cigarettes|BERLEY MENTHOL GOLD KING CT|10||68514121323|||
200|Cigarettes|BERLEY MENTHOL GOLD KING|1||68514121023|||
